fecha;sol;tmin;tmax;prec
01/01/2010;5;9;16;0,5
02/01/2010;4,4;9;16;11
03/01/2010;4,3;9;16;20,5
04/01/2010;2,8;9;15;20,5
05/01/2010;2,3;9;15;17
06/01/2010;4,1;8;14;9
07/01/2010;5,6;6;13;9
08/01/2010;4,8;4;10;1
09/01/2010;5,2;3;11;4
10/01/2010;4,3;4;11;4
11/01/2010;2,4;5;13;7,5
12/01/2010;2,1;7;14;8,5
13/01/2010;2,8;8;17;8
14/01/2010;3;9;17;4,5
15/01/2010;3,1;10;17;0
16/01/2010;3,5;9;17;0
17/01/2010;2;10;17;0
18/01/2010;1,7;10;18;0
19/01/2010;2,2;10;17;0
20/01/2010;3,3;9;17;0
21/01/2010;2,8;9;16;0
22/01/2010;2,9;9;16;9,5
23/01/2010;3,7;9;16;9,5
24/01/2010;3,1;9;15;9,5
25/01/2010;3,6;9;15;0,5
26/01/2010;5,5;8;15;2,5
27/01/2010;7,3;7;15;2
28/01/2010;8;6;15;1,5
29/01/2010;8;6;15;0
30/01/2010;8,2;5;16;0
31/01/2010;8,1;5;16;0
01/02/2010;6,4;6;16;0
02/02/2010;5,1;7;17;11
03/02/2010;5,8;8;18;12
04/02/2010;5,6;9;18;12
05/02/2010;4,2;9;18;1
06/02/2010;4,8;10;19;0,5
07/02/2010;5,9;10;19;1
08/02/2010;4,6;9;17;1
09/02/2010;4,7;10;17;2
10/02/2010;4,4;9;15;1,5
11/02/2010;0;8;13;8
12/02/2010;0;6;12;6,5
13/02/2010;0;6;12;12
14/02/2010;0;7;13;14,5
15/02/2010;0;8;14;18
16/02/2010;2,5;8;15;13
17/02/2010;4;10;16;13
18/02/2010;5,5;9;16;9
19/02/2010;5,3;8;16;11,5
20/02/2010;5,9;9;17;7
21/02/2010;7,3;10;19;7,5
22/02/2010;7,2;12;20;6
23/02/2010;5,6;13;20;1,5
24/02/2010;4,8;14;20;3,5
25/02/2010;3,5;14;20;4,5
26/02/2010;3,3;13;20;4,5
27/02/2010;2,7;12;19;3
28/02/2010;2,7;11;19;1
01/03/2010;3,3;11;19;8
02/03/2010;3,7;11;18;10
03/03/2010;2,7;11;17;10
04/03/2010;1,4;12;17;9
05/03/2010;2,2;12;18;8
06/03/2010;1,6;11;17;9,5
07/03/2010;2,9;10;17;9
08/03/2010;4;8;16;7
09/03/2010;4,5;7;16;5
10/03/2010;5,7;6;16;0,5
11/03/2010;7,5;6;16;0,5
12/03/2010;7,3;6;17;0,5
13/03/2010;7,8;6;17;0
14/03/2010;9,1;7;19;0
15/03/2010;8,8;7;20;0
16/03/2010;8,2;8;21;0
17/03/2010;6,6;10;24;0
18/03/2010;4,9;12;24;0
19/03/2010;3;13;24;0
20/03/2010;3,3;14;24;0
21/03/2010;2,7;14;24;0
22/03/2010;3,7;14;24;0
23/03/2010;4;13;23;0
24/03/2010;5,5;12;22;0,5
25/03/2010;5,6;12;22;0,5
26/03/2010;7,2;11;22;0,5
27/03/2010;6,7;11;21;0
28/03/2010;7,5;11;21;3
29/03/2010;7,8;10;21;3
30/03/2010;7,7;10;21;3
31/03/2010;7,6;10;20;0
01/04/2010;8,7;9;21;0
02/04/2010;9,9;9;22;0
03/04/2010;9,1;10;22;0
04/04/2010;8,6;10;23;0
05/04/2010;8,7;11;24;0
06/04/2010;8,9;11;24;0
07/04/2010;8,8;12;25;0
08/04/2010;9,8;12;25;0
09/04/2010;9,2;13;24;0
10/04/2010;7,4;14;24;0
11/04/2010;6,4;14;24;0
12/04/2010;5,2;14;24;0
13/04/2010;4,9;15;24;1
14/04/2010;4,6;15;24;1
15/04/2010;5,4;15;24;3,5
16/04/2010;4,8;14;23;4,5
17/04/2010;5,4;14;23;15
18/04/2010;5,7;14;23;12,5
19/04/2010;5,4;14;23;11
20/04/2010;5,3;15;23;1
21/04/2010;6,1;15;24;2
22/04/2010;6,1;16;25;2
23/04/2010;5,4;16;25;1
24/04/2010;7,5;16;26;0
25/04/2010;8,6;17;28;0
26/04/2010;9,5;17;30;0
27/04/2010;10,3;17;31;0
28/04/2010;10,4;17;31;0
29/04/2010;10,4;16;31;0
30/04/2010;10,3;16;30;0
01/05/2010;10,4;16;28;0
02/05/2010;10,7;15;26;0
03/05/2010;11,9;13;25;0
04/05/2010;10,6;13;24;0
05/05/2010;10,8;12;23;0
06/05/2010;9,6;12;23;0
07/05/2010;9,2;12;24;1,5
08/05/2010;8,5;13;24;1,5
09/05/2010;9,1;14;24;2
10/05/2010;8,2;14;24;1
11/05/2010;8,9;14;24;0,5
12/05/2010;8,7;13;24;0
