fecha;sol;tmin;tmax;dir;velmedia;racha;prec;presMax;presMin
01/01/2010;8,7;8,2;17,4;28;3,6;11,9;0;1016,8;1010,5
02/01/2010;6,9;7,2;15,2;4;1,4;6,1;0;1018,3;1015,3
03/01/2010;0;7,7;12,4;4;2,5;8,9;33,2;1015,2;1010,1
04/01/2010;2,1;10,9;18;21;5;17,5;28;1010,1;997,4
05/01/2010;3,8;11,4;17;25;4,4;10,8;0;1005,7;996,4
06/01/2010;1,1;8,1;12,6;26;1,1;7,8;23,2;1007;996,4
07/01/2010;4,4;6,2;13,8;28;5,6;15;3,2;1002,8;991,4
08/01/2010;9,3;3,9;9,6;32;3,6;12,8;0;1015,5;1002,2
09/01/2010;9,4;1,3;10,8;23;0,6;6,1;0;1016,5;1014,8
10/01/2010;0;1,4;4;7;4,7;10,8;11,5;1016,5;1007,1
11/01/2010;2,8;4;16,2;29;2,2;9,7;0,7;1020,4;1008,1
12/01/2010;0;9,5;15,8;30;6,4;21,7;10,8;1018,8;1006,9
13/01/2010;0;9,9;17,4;23;1,9;15;13,9;1015,2;1006,1
14/01/2010;7,7;11,4;18;24;5,8;15,6;0;1019,6;1006,1
15/01/2010;3,5;7,6;15,1;30;0,3;5,3;0;1022,8;1019,5
16/01/2010;3,7;8,3;16,7;33;0,6;4,4;0;1022,9;1020,2
17/01/2010;0,5;10,7;16,4;2;0,8;5,3;0;1022,9;1017,8
18/01/2010;2,3;9,3;19,4;20;3,1;9,7;0,05;1019,2;1015,6
19/01/2010;0,2;12,8;18,6;26;3,1;8,9;0;1019,3;1016,6
20/01/2010;2;8,7;16,6;30;1,4;6,7;0,05;1021,3;1019,3
21/01/2010;5,8;6,9;15,5;3;0,8;8,3;0;1022,1;1019
22/01/2010;6;8;15,8;4;2,8;9,2;0;1020;1011,9
23/01/2010;0,2;10,2;14,3;8;4,2;10,3;27,8;1011,9;1007,4
24/01/2010;0,7;9,6;15,4;1;2,2;5,6;0;1017,8;1011,6
25/01/2010;5,9;8,6;16,6;36;1,7;9,7;0,05;1017,5;1010,9
26/01/2010;2,6;7,9;14,3;5;8,9;19,2;1,6;1014,5;1008,8
27/01/2010;8,6;6,6;12,5;5;6,7;13,9;5,1;1014,4;1009,4
28/01/2010;9,7;6,8;15;6;2,5;11,4;0;1017,1;1012,5
29/01/2010;9,8;2,8;16,5;24;1,9;9,2;0;1012,5;1006,3
30/01/2010;9,2;5;16,6;21;1,9;7,8;0;1011;1008,8
31/01/2010;2,5;7,5;15;33;1,9;7,8;0;1011,5;1008,3
01/02/2010;9,8;4,7;15,8;4;3,1;9,2;0;1018,5;1010,8
02/02/2010;9;6,4;17,5;5;4,7;9,4;0;1019,4;1015,2
03/02/2010;1,4;7,4;15,8;5;4,4;9,2;33,1;1015,8;1007,1
04/02/2010;2,8;10,4;19,5;21;3,3;12,5;3,6;1014,9;1004,7
05/02/2010;6,1;12;20,2;29;3,3;8,9;0;1023;1014,9
06/02/2010;8,9;6,7;17,7;6;1,1;5,3;0;1021,7;1015,8
07/02/2010;1,6;8,1;16,5;20;1,1;5,6;0,8;1015,8;1007,9
08/02/2010;4,7;12,4;20;28;5,3;12,5;1,9;1007,9;999,9
09/02/2010;8;10,8;18,2;29;5,6;11,1;0;1007,2;1000,1
10/02/2010;0;9,2;12,8;4;1,9;6,1;4,5;1008,5;1001,7
11/02/2010;9,3;9;16,2;3;2,8;9,2;0;1008,7;1004,6
12/02/2010;0;4,3;9;8;6,9;13,9;19,2;1009,6;1003
13/02/2010;#N/A;4,8;10;4;2,8;9,7;0;1007,2;1001,8
14/02/2010;2,1;2,5;11,5;9;3,9;8,3;16,6;1007,2;995,7
15/02/2010;0;8,4;14,6;10;4,7;13,9;27;995,7;986,3
16/02/2010;5,6;12,5;18,6;22;6,4;18,1;10,9;990,1;983,8
17/02/2010;4,7;10;16,3;25;5,8;15,6;1;1001;989,4
18/02/2010;0;8,2;12;7;5,3;13,9;26,6;999,6;988
19/02/2010;9,8;8,6;17,5;27;6,4;14,4;0;1010,6;988,4
20/02/2010;7,6;4,8;15,5;15;0,8;8,3;7,5;1012,5;1004,6
21/02/2010;4,4;10,6;19,4;17;8,3;19,2;13,4;1004,6;996,8
22/02/2010;7,9;13,3;21;21;9,2;18,6;2,1;1004,3;997,8
23/02/2010;6,8;15;21;22;6,7;19,2;2,5;1010,8;1003,8
24/02/2010;9,1;13,8;21;22;5,8;13,3;0;1016,9;1010,8
25/02/2010;0;14,5;17,8;23;6,7;16,4;8,3;1012,7;1007
26/02/2010;0;14,4;17;24;0,8;7,2;4,8;1010,9;1005,3
27/02/2010;1,8;13,2;24,5;19;6,1;21,7;0,1;1005,9;992,9
28/02/2010;5,4;10,7;19;22;2,2;19,2;3,5;1010,6;1005
01/03/2010;6,5;8,8;17,4;5;1,1;10,3;0;1017,4;1010
02/03/2010;0;10,3;16;23;2,8;18,1;20,2;1010;1001,5
03/03/2010;2,8;10,3;17,8;22;6,7;19,2;9,1;1007,2;1003
04/03/2010;3,7;12,4;18,2;22;2,2;8,3;0;1014;1007,2
05/03/2010;0,4;12,7;17,6;7;1,1;8,3;17,5;1012,5;1004,6
06/03/2010;0,2;12;15,8;13;3,6;13,9;5,9;1007,5;1002,7
07/03/2010;3,8;11;19,1;25;2,8;9,4;5,2;1010,2;1006,7
08/03/2010;0;8;15,6;7;3,6;13,9;15,4;1008,6;996,8
09/03/2010;9,9;4,8;14,6;7;2,5;12,8;0;1011,3;998,7
10/03/2010;6,3;4,4;15,5;7;0,6;4,7;0;1011,7;1009,5
11/03/2010;2,7;6,5;15,7;5;1,4;6,4;1;1010,7;1007,3
12/03/2010;9,4;7;19;21;3,1;10,3;0;1018,4;1010,1
13/03/2010;9;5,8;17,5;21;1,4;7,8;0;1022,2;1018,1
14/03/2010;9;5,8;16,6;7;1,9;9,2;0;1021,6;1019,1
15/03/2010;8,7;6,6;18,5;99;4,4;10,8;0;1021,7;1016,9
16/03/2010;9,3;7,7;23,2;8;5;11,7;0;1020,4;1016,2
17/03/2010;8,2;8,8;24,2;99;2,2;5,6;0,05;1021,4;1019,1
18/03/2010;6;13,1;24,7;22;3,3;9,7;0,2;1022;1018,5
19/03/2010;0,9;15,2;27,4;22;2,5;8,3;0;1022,2;1017,4
20/03/2010;0;15,2;22,5;11;2,5;11,4;0,2;1019,5;1015,5
21/03/2010;0;14,5;22,4;25;2,5;8,9;0;1017,8;1014,8
22/03/2010;9,6;11,4;24,3;1;0,3;7,2;0;1020;1014,3
23/03/2010;2,8;14;24,5;25;1,1;7,5;0;1014,8;1007,2
24/03/2010;6,3;13;24;22;5;15;0,4;1007,9;1004,3
25/03/2010;1,2;12,2;19,8;21;6,7;16,1;1,1;1014,9;1007,2
26/03/2010;7,5;9,4;19,8;25;1,7;8,3;0;1021,6;1014,9
27/03/2010;10,3;9,8;21,7;4;1,9;8,9;0;1022,9;1018,1
28/03/2010;10,7;10,6;24,6;24;3,3;8,3;0;1018,1;1012,6
29/03/2010;3,7;13;19;22;5,6;14,7;8,7;1013,8;1010,8
30/03/2010;5,1;10,8;19,2;27;3,1;12,5;0;1018,1;1012,5
31/03/2010;9;7,8;21;21;1,1;8,9;0;1018,3;1014,5
01/04/2010;9,9;8,7;20,6;28;1,4;7,2;0;1017,8;1015,3
02/04/2010;10,5;9,5;21,7;6;0,8;5,6;0;1018,4;1013,6
03/04/2010;9,1;9,5;24;32;3,3;10,8;0;1016,3;1011,4
04/04/2010;11,1;9;21,5;6;4,2;11,1;0;1021;1016,3
05/04/2010;4,8;11,4;23;7;7,2;16,1;0;1019;1011,5
06/04/2010;7,4;10,2;24,9;26;1,1;8,3;0;1013,9;1011
07/04/2010;11;12,6;25,8;7;2,2;10,8;0;1014,8;1011,5
08/04/2010;10;14;24,6;7;6,1;10,8;0;1016,7;1013,2
09/04/2010;10,6;12,2;24,8;5;6,1;14,4;0;1015,9;1013,2
10/04/2010;9,8;13,2;23,5;7;7,5;16,9;0;1015,8;1009,2
11/04/2010;4,6;13,2;23,5;7;2,5;9,7;0;1009,3;1002,4
12/04/2010;2,1;15,4;22;22;3,1;11,4;0;1003,8;1000,9
13/04/2010;5,1;15;24;22;2,8;13,9;0,05;1004,6;1001,9
14/04/2010;4,6;14,5;24,8;18;3,3;13,3;2,3;1004,5;1000
15/04/2010;8,1;15,6;24,6;17;5,6;13,3;0,9;1005,5;1000,4
16/04/2010;3,2;14;23;22;4,7;17,5;7,8;1009;1004
17/04/2010;5,8;14;23;22;4,7;16,1;4,8;1009,5;1007,2
18/04/2010;2,5;12,8;19,4;20;3,9;10,8;32,5;1013,4;1008,3
19/04/2010;7,5;13,5;22,6;8;1,7;9,2;0;1015,7;1012
20/04/2010;9,4;15,6;27;5;1,7;6,7;0;1013,1;1009,6
21/04/2010;1,7;15,6;22,8;30;1,7;8,3;2,9;1010;1007,2
22/04/2010;5,3;15,2;22,6;22;5,6;11,4;2,5;1009,8;1006,5
23/04/2010;6,7;16,4;24,8;22;2,8;9,4;0;1012,7;1008,5
24/04/2010;7,2;15,6;25,7;30;1,1;7,2;0,05;1014,5;1012,2
25/04/2010;6;19,2;28,5;25;3,1;8,9;0;1018,2;1014,3
26/04/2010;12,1;16;30,6;15;3,9;8,9;0;1019;1015,6
27/04/2010;11,2;16,6;32,5;7;4,7;10,3;0;1018;1013,3
28/04/2010;11;16,4;33,6;22;1,7;7,5;0;1014,9;1011,9
29/04/2010;11;16,3;31,2;31;3,1;8,3;0;1014;1010,2
30/04/2010;6,5;17,2;29,4;23;2,5;8,9;0;1011,1;1006,6
01/05/2010;12,1;14,4;28,5;31;3,1;9,7;0;1010,5;1008,3
02/05/2010;11,1;15,4;27,7;21;3,3;9,7;0;1011,2;1006,6
03/05/2010;11,5;15,2;24,2;15;5;12,8;0;1009,9;1006,1
04/05/2010;12,4;12;21,2;4;5;13,9;0;1011,5;1008,9
05/05/2010;12,2;9,8;24,4;22;4,4;11,4;0;1011,4;1007
