ds;holiday;lower_window;upper_window
01/01/2010;Año Nuevo;-1;0
06/01/2010;Epifanía del Señor;-1;0
28/02/2010;Día de Andalucía;0;0
01/04/2010;Jueves Santo;-3;0
02/04/2010;Viernes Santo;0;2
21/04/2010;Miércoles de Feria;-2;2
01/05/2010;Fiesta del Trabajo;0;0
03/06/2010;Fiesta del Corpus Cristi;0;0
15/08/2010;Asunción de la Virgen;0;0
12/10/2010;Fiesta Nacional de España;0;0
01/11/2010;Día de todos Los Santos;0;0
06/12/2010;Día de la Constitución Española;0;0
08/12/2010;La Inmaculada Concepción;0;0
25/12/2010;Natividad del Señor;-1;0
01/01/2011;Año Nuevo;-1;0
06/01/2011;Epifanía del Señor;-1;0
28/02/2011;Día de Andalucía;0;0
21/04/2011;Jueves Santo;-3;0
22/04/2011;Viernes Santo;0;2
01/05/2011;Fiesta del Trabajo;0;0
04/05/2011;Miércoles de Feria;-2;2
23/06/2011;Fiesta del Corpus Cristi;0;0
15/08/2011;Asunción de la Virgen;0;0
12/10/2011;Fiesta Nacional de España;0;0
01/11/2011;Día de todos Los Santos;0;0
06/12/2011;Día de la Constitución Española;0;0
08/12/2011;La Inmaculada Concepción;0;0
25/12/2011;Natividad del Señor;-1;0
01/01/2012;Año Nuevo;-1;0
06/01/2012;Epifanía del Señor;-1;0
28/02/2012;Día de Andalucía;0;0
05/04/2012;Jueves Santo;-3;0
06/04/2012;Viernes Santo;0;2
25/04/2012;Miércoles de Feria;-2;2
01/05/2012;Fiesta del Trabajo;0;0
07/06/2012;Fiesta del Corpus Cristi;0;0
15/08/2012;Asunción de la Virgen;0;0
12/10/2012;Fiesta Nacional de España;0;0
01/11/2012;Día de todos Los Santos;0;0
06/12/2012;Día de la Constitución Española;0;0
08/12/2012;La Inmaculada Concepción;0;0
25/12/2012;Natividad del Señor;-1;0
01/01/2013;Año Nuevo;-1;0
06/01/2013;Epifanía del Señor;-1;0
28/02/2013;Día de Andalucía;0;0
28/03/2013;Jueves Santo;-3;0
29/03/2013;Viernes Santo;0;2
17/04/2013;Miércoles de Feria;-2;2
01/05/2013;Fiesta del Trabajo;0;0
30/05/2013;Fiesta del Corpus Cristi;0;0
15/08/2013;Asunción de la Virgen;0;0
12/10/2013;Fiesta Nacional de España;0;0
01/11/2013;Día de todos Los Santos;0;0
06/12/2013;Día de la Constitución Española;0;0
08/12/2013;La Inmaculada Concepción;0;0
25/12/2013;Natividad del Señor;-1;0
01/01/2014;Año Nuevo;-1;0
06/01/2014;Epifanía del Señor;-1;0
28/02/2014;Día de Andalucía;0;0
17/04/2014;Jueves Santo;-3;0
18/04/2014;Viernes Santo;0;2
01/05/2014;Fiesta del Trabajo;0;0
07/05/2014;Miércoles de Feria;-2;2
19/06/2014;Fiesta del Corpus Cristi;0;0
15/08/2014;Asunción de la Virgen;0;0
12/10/2014;Fiesta Nacional de España;0;0
01/11/2014;Día de todos Los Santos;0;0
06/12/2014;Día de la Constitución Española;0;0
08/12/2014;La Inmaculada Concepción;0;0
25/12/2014;Natividad del Señor;-1;0
01/01/2015;Año Nuevo;-1;0
06/01/2015;Epifanía del Señor;-1;0
28/02/2015;Día de Andalucía;0;0
02/04/2015;Jueves Santo;-3;0
03/04/2015;Viernes Santo;0;2
22/04/2015;Miércoles de Feria;-2;2
01/05/2015;Fiesta del Trabajo;0;0
04/06/2015;Fiesta del Corpus Cristi;0;0
15/08/2015;Asunción de la Virgen;0;0
12/10/2015;Fiesta Nacional de España;0;0
01/11/2015;Día de todos Los Santos;0;0
06/12/2015;Día de la Constitución Española;0;0
08/12/2015;La Inmaculada Concepción;0;0
25/12/2015;Natividad del Señor;-1;0
01/01/2016;Año Nuevo;-1;0
06/01/2016;Epifanía del Señor;-1;0
29/02/2016;Día de Andalucía;0;0
24/03/2016;Jueves Santo;-3;0
25/03/2016;Viernes Santo;0;2
13/04/2016;Miércoles de Feria;-2;2
02/05/2016;Fiesta del Trabajo;0;0
26/05/2016;Fiesta del Corpus Cristi;0;0
15/08/2016;Asunción de la Virgen;0;0
12/10/2016;Fiesta Nacional de España;0;0
01/11/2016;Día de todos Los Santos;0;0
06/12/2016;Día de la Constitución Española;0;0
08/12/2016;La Inmaculada Concepción;0;0
26/12/2016;Natividad del Señor;-1;0
02/01/2017;Año Nuevo;-1;0
06/01/2017;Epifanía del Señor;-1;0
28/02/2017;Día de Andalucía;0;0
13/04/2017;Jueves Santo;-3;0
14/04/2017;Viernes Santo;0;2
01/05/2017;Fiesta del Trabajo;0;0
03/05/2017;Miércoles de Feria;-2;2
15/06/2017;Fiesta del Corpus Cristi;0;0
15/08/2017;Asunción de la Virgen;0;0
12/10/2017;Fiesta Nacional de España;0;0
01/11/2017;Día de todos Los Santos;0;0
06/12/2017;Día de la Constitución Española;0;0
08/12/2017;La Inmaculada Concepción;0;0
25/12/2017;Natividad del Señor;-1;0
01/01/2018;Año Nuevo;-1;0
06/01/2018;Epifanía del Señor;-1;0
28/02/2018;Día de Andalucía;0;0
29/03/2018;Jueves Santo;-3;0
30/03/2018;Viernes Santo;0;2
18/04/2018;Miércoles de Feria;-2;2
01/05/2018;Fiesta del Trabajo;0;0
31/05/2018;Fiesta del Corpus Cristi;0;0
15/08/2018;Asunción de la Virgen;0;0
12/10/2018;Fiesta Nacional de España;0;0
01/11/2018;Día de todos Los Santos;0;0
06/12/2018;Día de la Constitución Española;0;0
08/12/2018;La Inmaculada Concepción;0;0
25/12/2018;Natividad del Señor;-1;0
01/01/2019;Año Nuevo;-1;0
07/01/2019;Epifanía del Señor;-1;0
28/02/2019;Día de Andalucía;0;0
18/04/2019;Jueves Santo;-3;0
19/04/2019;Viernes Santo;0;2
01/05/2019;Fiesta del Trabajo;0;0
08/05/2019;Miércoles de Feria;-2;2
20/06/2019;Fiesta del Corpus Cristi;0;0
15/08/2019;Asunción de la Virgen;0;0
12/10/2019;Fiesta Nacional de España;0;0
01/11/2019;Día de todos Los Santos;0;0
06/12/2019;Día de la Constitución Española;0;0
09/12/2019;La Inmaculada Concepción;0;0
25/12/2019;Natividad del Señor;-1;0
01/01/2020;Año Nuevo;-1;0
06/01/2020;Epifanía del Señor;-1;0
28/02/2020;Día de Andalucía;0;0
09/04/2020;Jueves Santo;-3;0
10/04/2020;Viernes Santo;0;2
29/04/2020;Miércoles de Feria;-2;2
01/05/2020;Fiesta del Trabajo;0;0
11/06/2020;Fiesta del Corpus Cristi;0;0
15/08/2020;Asunción de la Virgen;0;0
12/10/2020;Fiesta Nacional de España;0;0
02/11/2020;Día de todos Los Santos;0;0
07/12/2020;Día de la Constitución Española;0;0
08/12/2020;La Inmaculada Concepción;0;0
25/12/2020;Natividad del Señor;-1;0
